title,genre,artists,song_desc,youtube_url
Where You Are,House,"John Summit, Hayla","126 BPM, A minor, 4/4, 5:10; A soulful house track featuring 's emotive vocals over a dynamic bassline and uplifting melodies, blending deep house and progressive elements. The song has achieved significant success, reaching the top 10 on Billboard's Hot Dance/Electronic Songs chart and topping the US Dance Radio chart. It has been remixed by artists like GRiZ, Gorgon City, and Zedd, each adding their unique style to the track. The original release was accompanied by a lyric video on YouTube.",https://www.youtube.com/watch?v=5BqjhUmldDc
Shiver,House,"John Summit, Hayla","127 BPM, E minor, 4/4, 3:54; Energetic 127 BPM house track in E minor, featuring pulsating basslines, ethereal synths, and 's emotive alto vocals. Released February 14, 2024, it follows their 2023 hit ""Where You Are, "" which peaked at #8 on Billboard's Hot Dance/Electronic Songs Chart. """" is poised to be a festival staple, blending euphoria with wistful nostalgia.",https://www.youtube.com/watch?v=3PyoQ0EBXzs
Go Back,House,"John Summit, Julia Church","136 BPM, G minor, 4/4, 3:41; A dynamic electronic track blending house and drum & bass elements, featuring 's emotive vocals. The song begins with a steady tempo, incorporating piano and horns, before transitioning into an energetic drum & bass sequence. Notably, the tempo increases mid-track, enhancing its euphoric energy. The production is clean, with infectious melodies and kinetic basslines, creating an uplifting atmosphere. The track has been praised for its innovative fusion of genres and",https://www.youtube.com/watch?v=o9Bgl8HUFZA
Eat the Bass,Tech House,John Summit,"128 BPM, 4/4, 3:23; Pulsing at 128 BPM in F# minor, this tech house track features a deep, growling bassline, hypnotic percussive motifs, and gritty, pulsing synths, creating a dark, high-energy atmosphere. The repetitive vocal refrain ""I just need to, so let me dance"" emphasizes the track's focus on the visceral experience of music, making it a staple in club and festival settings.",https://www.youtube.com/watch?v=oSuUCudW7Jk
Focus,House,"John Summit, CLOVES","128 BPM, F# major, 4/4, 3:58; Dark, moody synths and groovy house beat; lush, ethereal vocals; trance-heavy instrumentals; pulsating rhythmic synths; introspective yet energizing; hauntingly emotive; immersive listening experience; dynamic and immersive; captivating; euphoric; trance-infused; festival-ready; introspective; emotive; immersive; captivating; euphoric; trance-infused; festival-ready; introspective; emotive; immersive; captivating; euphoric; trance-infused; festival-ready;",https://www.youtube.com/watch?v=P6GPG_dpq0A
La Danza,House,John Summit,"126 BPM, F# minor, 4/4, 2:38; A high-energy tech house track with a driving four-on-the-floor beat, featuring a chunky bassline, rhythmic drums, and an infectious Latin-inspired vocal loop. Released in March 2022 on Defected Records, it quickly became a summer anthem, earning significant airplay and chart success. The track's vibrant energy and catchy rhythm have made it a staple in dance music playlists.",https://www.youtube.com/watch?v=9Mv4ogXpjCM
Sun Came Up,House,"John Summit, Sofi Tukker","124 BPM, A minor, 4/4, 3:23; Hypnotic house track featuring breathy vocals and intricate Spanish guitar, seamlessly blending sensuality with rhythmic energy. Collaborative effort between New York duo and Chicago's, combining their distinctive styles into a unique sound. Inspired by quarantine experiences, the song reflects themes of togetherness and hope, capturing both nostalgia and anticipation. Released in 2021, it showcases a fusion of global influences and electronic dance music elements.",https://www.youtube.com/watch?v=N9RrlA69WvU
What a Life,House,"John Summit, Guz, Steve Appleton","126 BPM, G minor, 4/4; Upbeat house track at 126 BPM in G minor, featuring breezy guitar riffs, uplifting vocals, and groovy basslines. Released July 29, 2022, it quickly became a summer anthem, charting at #37 on US Dance/Electronic charts. Notably performed live at Madison Square Garden in 2024, enhancing its reputation as a crowd favorite.",https://www.youtube.com/watch?v=a6nw8XxdDu4
Deep End,House,John Summit,"124 BPM, F major, 4/4; Chicago-born producer's 2020 house track features groovy percussion, rolling bassline, and hypnotic vocals, blending deep house and tech house elements. Released on Defected Records, it topped Beatport charts, earning Pete Tong's Essential New Tune and BBC Radio 1 playlist spots. Remixed by SIDEPIECE, Black V Neck, and SIDEPIECE Extended Remix, each adding unique basslines and builds. Vocals by Foushee.",https://www.youtube.com/watch?v=_3eJi3yPgY4
Show Me,House/Pop,"John Summit, Hannah Boleyn","126 BPM, D minor, 4/4, 2:57; A 2:57 tech house track in C minor, featuring a 4/4 time signature and approximately 124 BPM, combining deep basslines, crisp programmed drums, and atmospheric synths with soulful vocals, creating a moody yet energizing vibe.; groove‑locked percussion; off‑beat hats; sustained chords; build‑to‑peak energy curve",https://www.youtube.com/watch?v=EwJEWWJKoQI
