title,genre,artists,song_desc,youtube_url
Where You Are,House,"John Summit, Hayla",Melodic house anthem featuring soaring vocals from Hayla and uplifting progressive drops.,https://www.youtube.com/watch?v=NXiadwKM-bA
Shiver,House,"John Summit, Hayla",Emotional dance track with energetic synths and powerful vocals.,https://www.youtube.com/watch?v=Il0S8BoucSA
Go Back,House,"John Summit, Julia Church",Soulful house production with catchy hooks and deep grooves.,https://www.youtube.com/watch?v=o9Bgl8HUFZA
Eat the Bass,Tech House,John Summit,Club-driven tech house record with punchy bass and infectious rhythms.,https://www.youtube.com/watch?v=fORtaB4MalY
Focus,House,"John Summit, CLOVES",Euphoric house tune blending dreamy vocals and intricate beats.,https://www.youtube.com/watch?v=Z5ze4CUAkE8
La Danza,House,John Summit,Upbeat Latin-flavored house track with lively percussion.,https://www.youtube.com/watch?v=18Qb-qScrj4
Sun Came Up,House,"John Summit, Sofi Tukker",Summer dance anthem characterized by vibrant vocals and tropical grooves.,https://www.youtube.com/watch?v=N9RrlA69WvU
What a Life,House,"John Summit, Guz, Steve Appleton","Uplifting collaboration merging catchy hooks, playful instruments, and vocal samples.",https://www.youtube.com/watch?v=FjVVqpZw-wg
Deep End,House,John Summit,Breakout club hit with a recognizable vocal hook and driving bassline.,https://www.youtube.com/watch?v=WpQgQjXgUkg
Show Me,House/Pop,"John Summit, Hannah Boleyn",Melodic and energetic track pairing catchy lyrics with groove-filled production.,https://www.youtube.com/watch?v=3iO1JkB0lqI
Sweet Disposition (Remix),House,"John Summit, Silver Panda, Temper Trap",Dance remix of The Temper Trap classic with reimagined house drops.,https://www.youtube.com/watch?v=Q9pGZbbu_NY
Is Everybody Having Fun?,House,"John Summit, Gorgon City, rhys",Festival-ready collaboration bringing together rich house beats and playful lyrics.,https://www.youtube.com/watch?v=dJnaO9vBzIY
light years,House,"John Summit, Inéz",Atmospheric house cut with emotive vocals and sweeping pads.,https://www.youtube.com/watch?v=fKSmNPxhNXE
Hungover,House,"John Summit, Mathame, Camden Cox",Driving tech-influenced house with introspective vocals and club energy.,https://www.youtube.com/watch?v=iP6XpLQM2Cs
Fade Out,House,"John Summit, MKLA",Melodic house with emotional lyrics and progressive layers.,https://www.youtube.com/watch?v=dlQn8Pm2oIM
Palm of My Hands,House,"John Summit, Venbee",Soulful and uplifting house track with vocal energy and anthemic chorus.,https://www.youtube.com/watch?v=p8c7M5Uv7fY
Tears,House,"John Summit, Paige Cavell",Emotional house track with engaging vocals and rising synths.,https://www.youtube.com/watch?v=jcIxEqr03P8
Resonate,House,"John Summit, Kaskade, Julia Church",Anthemic collaboration that merges lush vocals with festival-ready house production.,https://www.youtube.com/watch?v=PHpBCKr7snA
Good Things Fall Apart,Future Bass/Pop,"Illenium, Jon Bellion",Melodic future bass anthem featuring emotive vocals and a soaring chorus.,https://www.youtube.com/watch?v=GNWDEnv_Bm8
Crawl Outta Love,Future Bass,"Illenium, Annika Wells",Heartfelt electronic track blending powerful drops and tender storytelling vocals.,https://www.youtube.com/watch?v=fFiAonFbgQs
Takeaway,Future Bass/EDM,"The Chainsmokers, Illenium, Lennon Stella","Upbeat, highly-streamed collaboration blending catchy lyrics and energetic production.",https://www.youtube.com/watch?v=4u5U7Qqdc6E
Fractures,Future Bass,"Illenium, Nevve","Emotional, melodic bass-driven single with lush synths and haunting vocals.",https://www.youtube.com/watch?v=Y2MV1jhhA5g
